ID,Name,Parameter,Language,Frequency,Confidence,References
niv,8-9 cases,Number of Cases,Nivkh,,,Gruzdeva 1998
nko,No morphological case-marking,Number of Cases,Nkore-Kiga,,,Taylor 1985
nbd,6-7 cases,Number of Cases,Nubian (Dongolese),,,Armbruster 1960
nug,10 or more cases,Number of Cases,Nunggubuyu,,,Heath 1984
ond,No morphological case-marking,Number of Cases,Oneida,,,Abbott 2000
orh,6-7 cases,Number of Cases,Oromo (Harar),,,Owens 1985
ots,No morphological case-marking,Number of Cases,Otomí (Sierra),,,Voigtlander and Echegoyen 1985
pms,No morphological case-marking,Number of Cases,Paamese,,,Crowley 1982
pae,6-7 cases,Number of Cases,Páez,,,Jung 1989
pai,No morphological case-marking,Number of Cases,Paiwan,,,Egli 1990
pal,No morphological case-marking,Number of Cases,Palauan,,,Josephs 1975
pan,2 cases,Number of Cases,Panjabi,,,Bhatia 1993
psh,3 cases,Number of Cases,Pashto,,,Penzl 1955
psm,Exclusively borderline case-marking,Number of Cases,Passamaquoddy-Maliseet,,,Sherwood 1986;Leavitt 1996
pau,3 cases,Number of Cases,Paumarí,,,Chapman and Derbyshire 1991
prs,2 cases,Number of Cases,Persian,,,Mahootian 1997
prh,Exclusively borderline case-marking,Number of Cases,Pirahã,,,Everett 1986
pit,10 or more cases,Number of Cases,Pitjantjatjara,,,Bowe 1990
pol,6-7 cases,Number of Cases,Polish,,,Bielec 1998
pso,6-7 cases,Number of Cases,Pomo (Southeastern),,,Moshinsky 1974
qaw,2 cases,Number of Cases,Qawasqar,,,Clairis 1985
qim,8-9 cases,Number of Cases,Quechua (Imbabura),,,Cole 1982
ram,8-9 cases,Number of Cases,Rama,,,Grinevald n.d.
rap,No morphological case-marking,Number of Cases,Rapanui,,,Du Feu 1996
rom,2 cases,Number of Cases,Romanian,,,Beyrer et al. 1987
rka,6-7 cases,Number of Cases,Romani (Kalderash),,,Boretzky 1994
rus,6-7 cases,Number of Cases,Russian,,,Wade 1992
sno,6-7 cases,Number of Cases,Saami (Northern),,,Nickel 1994
san,No morphological case-marking,Number of Cases,Sango,,,Samarin 1967b
snm,2 cases,Number of Cases,Sanuma,,,Borgman 1990
sel,Exclusively borderline case-marking,Number of Cases,Selknam,,,Najlis 1973
sml,3 cases,Number of Cases,Semelai,,,Kruspe 1999
snt,No morphological case-marking,Number of Cases,Sentani,,,Cowan 1965
scr,5 cases,Number of Cases,Serbian-Croatian,,,Hamm 1981;Browne 1993
shk,6-7 cases,Number of Cases,Shipibo-Konibo,,,Valenzuela 1997
snh,5 cases,Number of Cases,Sinhala,,,Gair and Paolillo 1997
sla,No morphological case-marking,Number of Cases,Slave,,,Rice 1989
som,3 cases,Number of Cases,Somali,,,Saeed 1999
spa,No morphological case-marking,Number of Cases,Spanish,,,Butt and Benjamin 2000
squ,2 cases,Number of Cases,Squamish,,,Kuipers 1967
sue,4 cases,Number of Cases,Suena,,,Wilson 1974
sup,Exclusively borderline case-marking,Number of Cases,Supyire,,,Carlson 1994
swa,No morphological case-marking,Number of Cases,Swahili,,,Ashton 1947;Vitale 1981;Blake 1994
swe,2 cases,Number of Cases,Swedish,,,Holmes and Hinchliffe 1994
tab,No morphological case-marking,Number of Cases,Taba,,,Bowden 1997a
tag,No morphological case-marking,Number of Cases,Tagalog,,,Schachter and Otanes 1972
tts,2 cases,Number of Cases,Tati (Southern),,,Yar-Shater 1969
tha,No morphological case-marking,Number of Cases,Thai,,,Campbell 2000
tin,No morphological case-marking,Number of Cases,Tinrin,,,Osumi 1995
tiw,No morphological case-marking,Number of Cases,Tiwi,,,Osborne 1974
tli,8-9 cases,Number of Cases,Tlingit,,,Swanton 1911a;Naish 1979
tda,10 or more cases,Number of Cases,Toda,,,Emeneau 1984
tru,5 cases,Number of Cases,Trumai,,,Guirardello 1999a
tsi,No morphological case-marking,Number of Cases,Tsimshian (Coast),,,Dunn 1979;Boas 1911c
tuk,No morphological case-marking,Number of Cases,Tukang Besi,,,Donohue 1999a
tun,Exclusively borderline case-marking,Number of Cases,Tunica,,,Haas 1940
tna,6-7 cases,Number of Cases,Turkana,,,Dimmendaal 1982
tur,6-7 cases,Number of Cases,Turkish,,,Kornfilt 1997
tvl,No morphological case-marking,Number of Cases,Tuvaluan,,,Besnier 2000
udh,8-9 cases,Number of Cases,Udihe,,,Nikolaeva and Tolskaya 2001
udm,10 or more cases,Number of Cases,Udmurt,,,Winkler 2001
una,No morphological case-marking,Number of Cases,Una,,,Louwerse 1988
ung,8-9 cases,Number of Cases,Ungarinjin,,,Rumsey 1982
urd,2 cases,Number of Cases,Urdu,,,Schmidt 1999
urk,No morphological case-marking,Number of Cases,Urubú-Kaapor,,,Kakumasu 1986
usa,Exclusively borderline case-marking,Number of Cases,Usan,,,Reesink 1987
vie,No morphological case-marking,Number of Cases,Vietnamese,,,Nguyen 1997
wam,8-9 cases,Number of Cases,Wambaya,,,Nordlinger 1998
wra,5 cases,Number of Cases,Warao,,,Romero-Figueroa 1997
wrd,8-9 cases,Number of Cases,Wardaman,,,Merlan 1994
war,No morphological case-marking,Number of Cases,Wari',,,Everett and Kern 1997
was,Exclusively borderline case-marking,Number of Cases,Washo,,,Jacobsen 1964
wel,No morphological case-marking,Number of Cases,Welsh,,,King 1993a
wch,No morphological case-marking,Number of Cases,Wichí,,,Tovar 1981
wic,Exclusively borderline case-marking,Number of Cases,Wichita,,,Rood 1976
win,4 cases,Number of Cases,Wintu,,,Pitkin 1984
yag,Exclusively borderline case-marking,Number of Cases,Yagua,,,Payne and Payne 1990
yaq,2 cases,Number of Cases,Yaqui,,,Dedrick and Casad 1999
ywl,6-7 cases,Number of Cases,Yawelmani,,,Newman 1944
yid,8-9 cases,Number of Cases,Yidiny,,,Dixon 1977a
yim,Exclusively borderline case-marking,Number of Cases,Yimas,,,Foley 1991
yor,No morphological case-marking,Number of Cases,Yoruba,,,Awobuluyi 1978
yuc,Exclusively borderline case-marking,Number of Cases,Yuchi,,,Wagner 1933-1938
yko,8-9 cases,Number of Cases,Yukaghir (Kolyma),,,Maslova 1999
ypk,6-7 cases,Number of Cases,Yup'ik (Central),,,Jacobson 1995
yur,Exclusively borderline case-marking,Number of Cases,Yurok,,,Robins 1958
zqc,2 cases,Number of Cases,Zoque (Copainalá),,,Harrison et al. 1981
zul,No morphological case-marking,Number of Cases,Zulu,,,Poulos and Msimang 1998
zun,No morphological case-marking,Number of Cases,Zuni,,,Newman 1965
